"Table 3: Estimated population by sex, five year age group and administrative area, mid-2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,Persons
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,Area
S08000028,Western Isles,"13,196",,588,711,780,621,609,555,656,655,745,941,"1,049","1,092","1,039",949,878,587,425,194,122,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,,Females
Females,,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
S92000003,Scotland,"2,800,297",,"131,733","146,019","144,187","137,786","171,390","191,110","186,828","179,898","162,642","186,646","207,150","202,348","177,841","154,984","146,517","108,065","82,959","51,947","30,247",,Scotland
,Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
S12000033,Aberdeen City,"114,873",,"5,707","5,676","5,063","5,412","9,851","10,549","9,842","8,562","6,765","6,882","7,110","7,177","6,272","5,212","4,910","3,648","3,063","2,015","1,157",,Aberdeen City
S12000034,Aberdeenshire,"131,270",,"6,979","7,822","7,671","6,390","5,416","6,409","7,665","8,657","8,473","9,768","10,411","9,755","8,645","7,773","7,200","5,014","3,579","2,274","1,369",,Aberdeenshire
S12000041,Angus,"59,476",,"2,516","3,121","3,069","2,889","2,737","2,874","3,233","3,463","3,259","3,968","4,497","4,600","4,087","3,919","4,018","2,835","2,130","1,349",912,,Angus
S12000035,Argyll and Bute,"43,123",,"1,667","2,058","2,133","2,039","1,872","1,770","1,916","2,097","2,220","2,918","3,442","3,627","3,357","3,161","3,189","2,286","1,753","1,042",576,,Argyll & Bute
S12000036,City of Edinburgh,"268,627",,"11,873","12,886","11,740","12,002","23,836","28,622","25,309","20,590","16,603","15,934","15,892","15,477","13,419","11,652","10,866","7,850","6,593","4,571","2,912",,City of Edinburgh
S12000005,Clackmannanshire,"26,197",,"1,245","1,420","1,411","1,326","1,374","1,453","1,462","1,488","1,546","1,902","2,133","2,036","1,759","1,617","1,552","1,094",749,398,232,,Clackmannanshire
S12000006,Dumfries and Galloway,"76,425",,"3,141","3,617","3,930","3,420","3,535","3,750","3,808","3,925","3,767","4,856","6,112","6,334","5,776","5,440","5,238","4,066","2,861","1,848","1,001",,Dumfries & Galloway
S12000042,Dundee City,"77,192",,"3,596","3,826","3,630","4,344","7,326","6,825","5,716","4,886","3,931","4,147","4,812","5,131","4,366","3,641","3,678","2,631","2,278","1,549",879,,Dundee City
S12000008,East Ayrshire,"62,821",,"3,009","3,316","3,266","3,194","3,237","3,683","3,813","3,726","3,510","4,431","5,153","4,784","4,184","3,748","3,630","2,567","1,828","1,095",647,,East Ayrshire
S12000045,East Dunbartonshire,"56,069",,"2,668","3,128","3,034","2,727","2,575","2,584","2,597","3,154","3,253","3,932","4,306","4,449","4,009","3,430","3,332","2,614","2,170","1,353",754,,East Dunbartonshire
S12000010,East Lothian,"55,657",,"2,718","3,150","3,077","2,716","2,607","3,196","3,095","3,412","3,383","3,900","4,435","4,264","3,703","3,184","3,058","2,346","1,700","1,118",595,,East Lothian
S12000011,East Renfrewshire,"49,822",,"2,447","3,186","3,224","2,805","2,380","2,157","2,383","2,886","3,240","3,481","3,823","3,656","3,185","2,725","2,652","2,088","1,647","1,144",713,,East Renfrewshire
S12000014,Falkirk,"82,039",,"3,785","4,440","4,592","3,963","4,161","4,886","5,118","5,397","5,253","6,111","6,535","5,962","5,200","4,663","4,285","3,116","2,434","1,365",773,,Falkirk
S12000047,Fife,"192,136",,"9,060","10,206","10,254","9,876","11,768","11,378","11,316","11,428","11,030","12,824","14,411","13,995","12,546","11,364","11,207","7,923","5,829","3,552","2,169",,Fife
S12000049,Glasgow City,"323,084",,"16,197","16,301","14,113","15,185","27,701","34,246","29,821","23,630","18,467","19,084","21,381","20,982","17,464","12,973","11,392","8,780","7,522","4,971","2,874",,Glasgow City
S12000017,Highland,"120,266",,"5,295","6,020","6,380","5,807","5,388","6,125","6,715","7,314","6,763","8,334","9,558","9,456","8,546","7,901","7,276","5,481","3,976","2,494","1,437",,Highland
S12000018,Inverclyde,"40,512",,"1,683","1,933","2,022","1,968","2,134","2,311","2,207","2,284","2,230","2,717","3,340","3,390","2,902","2,486","2,307","1,740","1,390",924,544,,Inverclyde
S12000019,Midlothian,"48,026",,"2,862","2,952","2,585","2,328","2,356","2,974","3,152","3,336","2,858","3,240","3,478","3,391","2,989","2,638","2,612","1,804","1,325",761,385,,Midlothian
